representative	genome
20120600_S3D_1	Bog.Labelled.R3.T2.F3.trimmomatic.megahit_bin.109_92.59_5.56
20120600_S3D_1	Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.145_91.88_6.84
20120600_S3D_1	PLAA01
20120600_S3D_1	20140700_S12_20
20120600_S3D_1	Bog.Labelled.R1.T3.F3.JGI.BFC.metaspades_bin.35_94.02_3.85
20120600_S3D_1	20111000_S2M_13
20120600_S3D_1	20130700_S3M_10
20120600_S3D_1	20140700_S22_11
20120600_S3D_1	20120700_S2D_5
20120600_S3D_1	Bog.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.83_76.73_5.56
20120600_S3D_1	Bog.Labelled.R1.T3.F3.trimmomatic.megahit_bin.94_96.87_2.56
20120600_S3D_1	20111000_S1D_9
20120600_S3D_1	Bog.Unlabelled.R1.T1.F3.JGI.BFC.metaspades_bin.22_97.44_8.12
20120600_S3D_1	Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.202_97.34_5.56
20120600_S3D_1	Bog.None.R1.T0.trimmomatic.megahit_bin.61_94.87_5.75
20120600_S3D_1	Bog.Labelled.R1.T2.F3.trimmomatic.metaspades_bin.91_96.15_4.80
20120600_S3D_1	Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.60_97.44_6.51
20120600_S3D_1	20160700_S13_14
20120600_S3D_1	20111000_S3D_4
20120600_S3D_1	PLQS01
20120600_S3D_1	PMVF01
20120600_S3D_1	Bog.None.R2.T0.trimmomatic.megahit_bin.54_94.87_8.64
20120600_S3D_1	Bog.Labelled.R2.T2.F3.trimmomatic.metaspades_bin.19_80.57_8.49
20120600_S3D_1	Bog.Unlabelled.R2.T3.F3.trimmomatic.metaspades_bin.73_96.01_5.73
20120600_S3D_1	20150700_S13_2
20120600_S3D_1	20150700_S33_6
20120600_S3D_1	Bog.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.30_81.24_3.42
20120600_S3D_1	Bog.Unlabelled.R3.T2.F3.trimmomatic.megahit_bin.47_97.44_6.41
20120600_S3D_1	20140700_S32_9
20120600_S3D_1	PLVB01
20120600_S3D_1	Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.161_97.44_7.35
20120600_S3D_1	20170700_S33_1
20120600_S3D_1	20110700_S1D_4
20120600_S3D_1	Bog.Unlabelled.R2.T2.F2.trimmomatic.metaspades_bin.78_91.45_6.41
20120600_S3D_1	PMKD01
20120600_S3D_1	Fen.Labelled.R1.T3.F4.trimmomatic.megahit_bin.31_76.85_2.14
20120600_S3D_1	Bog.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.67_92.02_6.41
20120600_S3D_1	Bog.Labelled.R2.T3.F3.trimmomatic.metaspades_bin.70_83.12_9.83
20120600_S3D_1	Bog.Unlabelled.R1.T2.F3.trimmomatic.megahit_bin.45_97.44_5.56
20120600_S3D_1	20140700_S33_5
20120600_S3D_1	Bog.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.64_98.29_8.12
20120600_S3D_1	PLVG01
20120600_S3D_1	20140700_S13_14
20120600_S3D_1	Bog.Unlabelled.R1.T1.F3.trimmomatic.metaspades_bin.75_94.59_7.69
20120600_S3D_1	Bog.Unlabelled.R3.T1.F3.trimmomatic.megahit_bin.7_96.58_8.26
20120600_S3D_1	Bog.Unlabelled.R2.T1.F3.trimmomatic.metaspades_bin.152_97.44_6.70
20120600_S3D_1	Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.67_97.44_8.64
20120600_S3D_1	PMFN01
20120600_S3D_1	20150700_S23_1
20120600_S3D_1	PMUX01
20120600_S3D_1	20120600_S1M_2
20120600_S3D_1	Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.102_87.18_8.97
20120600_S3D_1	Bog.None.R3.T0.trimmomatic.megahit_bin.319_96.58_8.12
20120600_S3D_1	Bog.None.R3.T0.JGI.BFC.metaspades_bin.315_89.60_9.98
20120600_S3D_1	Bog.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.61_95.01_8.12
20120600_S3D_1	Fen.Labelled.R1.T3.F4.JGI.BFC.metaspades_bin.29_89.32_6.15
20120600_S3D_1	Bog.Labelled.R2.T2.F3.trimmomatic.megahit_bin.100_91.45_6.51
20120600_S3D_1	Bog.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.37_94.87_6.70
20120600_S3D_1	PMGS01
20120600_S3D_1	Bog.Labelled.R2.T2.F3.JGI.BFC.metaspades_bin.51_93.16_6.27
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Labelled.R2.T3.F3.JGI.BFC.metaspades_bin.1_82.41_2.93
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.117_91.45_3.42
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R2.T1.F3.JGI.BFC.metaspades_bin.23_93.02_6.92
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.24_87.14_6.41
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	20130700_S2S_1
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	20120700_S1D_82
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R1.T1.F3.trimmomatic.megahit_bin.16_82.44_3.42
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Labelled.R1.T3.F3.trimmomatic.megahit_bin.105_86.44_7.37
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.None.R3.T0.trimmomatic.megahit_bin.115_82.15_6.15
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.40_71.37_3.99
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.78_94.83_6.11
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.32_88.48_9.25
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R1.T1.F3.JGI.BFC.metaspades_bin.57_84.70_7.43
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R1.T2.F3.trimmomatic.megahit_bin.104_76.04_8.22
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R2.T1.F3.trimmomatic.megahit_bin.9_79.73_5.98
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Labelled.R3.T2.F3.trimmomatic.megahit_bin.82_92.26_8.46
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.125_79.31_9.25
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.108_81.16_1.45
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R3.T1.F3.trimmomatic.megahit_bin.45_86.75_9.78
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Unlabelled.R3.T3.F3.trimmomatic.megahit_bin.43_89.31_7.84
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.None.R1.T0.trimmomatic.megahit_bin.357_86.04_7.41
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.None.R2.T0.trimmomatic.megahit_bin.315_82.94_8.36
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Labelled.R1.T2.F3.JGI.BFC.metaspades_bin.77_75.46_4.27
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.7_86.83_9.45
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Labelled.R3.T2.F3.JGI.BFC.metaspades_bin.58_71.57_7.31
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.None.R2.T0.JGI.BFC.metaspades_bin.354_76.13_6.98
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Labelled.R2.T2.F3.trimmomatic.megahit_bin.91_83.33_9.40
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.100_72.84_6.93
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Labelled.R3.T1.F3.trimmomatic.metaspades_bin.64_85.03_9.40
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78	Bog.Labelled.R1.T3.F3.JGI.BFC.metaspades_bin.41_94.44_8.48
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T3.F2.JGI.BFC.metaspades_bin.27_89.29_0.86
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T3.F1.JGI.BFC.metaspades_bin.32_94.18_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.49_91.55_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T1.F1.trimmomatic.metaspades_bin.36_92.00_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T2.F3.JGI.BFC.metaspades_bin.14_90.33_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.147_89.29_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T2.F2.JGI.BFC.metaspades_bin.60_88.00_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T3.F3.JGI.BFC.metaspades_bin.1_88.86_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Fen.Labelled.R1.T3.F4.trimmomatic.metaspades_bin.62_85.90_0.86
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T1.F3.JGI.BFC.metaspades_bin.25_92.07_2.59
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R1.T1.F3.trimmomatic.metaspades_bin.91_89.70_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R3.T1.F3.trimmomatic.metaspades_bin.44_88.41_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R1.T2.F1.JGI.BFC.metaspades_bin.35_86.27_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T2.F1.JGI.BFC.metaspades_bin.53_90.76_2.59
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T1.F3.trimmomatic.metaspades_bin.68_87.60_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Fen.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.53_88.69_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.71_79.98_0.91
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T3.F2.trimmomatic.metaspades_bin.32_89.34_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R3.T2.F3.JGI.BFC.metaspades_bin.13_86.03_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.163_86.95_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R1.T2.F2.JGI.BFC.metaspades_bin.90_88.05_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R1.T1.F3.JGI.BFC.metaspades_bin.30_94.90_2.59
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T2.F3.trimmomatic.metaspades_bin.4_84.60_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T1.F2.JGI.BFC.metaspades_bin.60_88.86_2.59
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.43_87.28_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T2.F3.trimmomatic.metaspades_bin.49_84.36_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Fen.Labelled.R1.T3.F1.trimmomatic.megahit_bin.61_88.45_0.93
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T2.F1.trimmomatic.metaspades_bin.87_88.00_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.50_78.23_0.86
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T1.F3.trimmomatic.metaspades_bin.119_80.96_2.59
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R3.T1.F2.JGI.BFC.metaspades_bin.34_92.67_4.31
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R1.T1.F1.trimmomatic.megahit_bin.34_89.08_2.06
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R3.T2.F2.trimmomatic.metaspades_bin.25_85.39_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T1.F1.trimmomatic.megahit_bin.20_92.95_2.16
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T3.F3.trimmomatic.metaspades_bin.82_77.80_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.89_82.47_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.66_83.36_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R3.T1.F1.trimmomatic.megahit_bin.45_94.18_3.62
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T2.F2.trimmomatic.metaspades_bin.111_78.18_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T2.F2.trimmomatic.metaspades_bin.120_74.45_0.86
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R1.T1.F2.JGI.BFC.metaspades_bin.20_76.61_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R3.T1.F1.trimmomatic.metaspades_bin.17_88.43_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T1.F1.JGI.BFC.metaspades_bin.23_91.59_2.63
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R3.T2.F3.trimmomatic.megahit_bin.161_79.07_2.16
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.54_82.39_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T1.F3.trimmomatic.megahit_bin.128_84.17_3.09
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T2.F3.trimmomatic.metaspades_bin.70_81.78_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R1.T1.F2.trimmomatic.metaspades_bin.51_83.41_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T2.F2.JGI.BFC.metaspades_bin.34_91.88_3.88
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T2.F2.trimmomatic.megahit_bin.91_91.64_3.45
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T2.F3.JGI.BFC.metaspades_bin.47_85.58_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R1.T1.F1.trimmomatic.metaspades_bin.3_84.33_1.77
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T2.F3.JGI.BFC.metaspades_bin.52_87.93_2.59
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R3.T2.F1.trimmomatic.metaspades_bin.138_78.28_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.27_81.75_1.77
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T3.F3.JGI.BFC.metaspades_bin.88_80.41_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T3.F1.trimmomatic.metaspades_bin.84_81.29_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R1.T1.F1.JGI.BFC.metaspades_bin.42_89.68_3.45
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T1.F2.trimmomatic.metaspades_bin.67_81.49_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.None.R2.T0.JGI.BFC.metaspades_bin.266_79.38_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T3.F1.trimmomatic.megahit_bin.79_91.12_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Fen.Labelled.R1.T3.F4.trimmomatic.megahit_bin.74_79.43_2.59
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.39_80.35_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T3.F1.trimmomatic.megahit_bin.7_93.32_2.16
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T1.F2.JGI.BFC.metaspades_bin.1_93.99_3.50
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R1.T2.F1.trimmomatic.metaspades_bin.17_81.63_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R3.T2.F1.trimmomatic.metaspades_bin.57_84.08_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.213_78.98_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.53_75.89_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.10_80.62_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T1.F1.trimmomatic.metaspades_bin.19_85.44_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	20130700_S2S_18
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T2.F1.trimmomatic.metaspades_bin.64_80.84_1.77
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.157_78.95_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.107_87.75_4.31
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T1.F3.trimmomatic.megahit_bin.39_85.56_2.16
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.80_80.17_1.77
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T1.F2.trimmomatic.metaspades_bin.71_84.33_1.77
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.108_82.57_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.1_83.41_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.58_94.83_3.02
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T2.F1.trimmomatic.metaspades_bin.16_84.33_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Fen.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.80_79.33_0.86
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T3.F1.trimmomatic.metaspades_bin.11_91.60_2.59
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T2.F1.trimmomatic.megahit_bin.48_81.53_2.59
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	20110700_S1M_18
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.None.R3.T0.JGI.BFC.metaspades_bin.154_76.72_0.86
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.103_70.57_1.72
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.147_74.00_3.45
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T3.F3.trimmomatic.megahit_bin.100_70.93_3.32
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T3.F2.trimmomatic.megahit_bin.92_71.73_3.45
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T1.F1.trimmomatic.megahit_bin.1_88.07_4.41
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T1.F2.trimmomatic.megahit_bin.5_79.74_4.96
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T2.F3.trimmomatic.megahit_bin.31_73.13_2.16
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T2.F2.trimmomatic.megahit_bin.17_75.12_2.63
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T3.F2.JGI.BFC.metaspades_bin.16_92.05_3.45
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Unlabelled.R2.T2.F1.trimmomatic.megahit_bin.72_81.19_4.74
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R1.T1.F3.JGI.BFC.metaspades_bin.34_74.59_3.45
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R2.T2.F1.trimmomatic.megahit_bin.38_81.28_5.17
Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72	Bog.Labelled.R3.T1.F3.trimmomatic.megahit_bin.27_85.34_6.47
